INFO:     Started server process [2632]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-07-22 07:52:10,140 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235421/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,142 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235424/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,155 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235428/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,156 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235426/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,158 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235423/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,768 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235425/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:57:14,593 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/235/latest "HTTP/1.1 200 OK"
2026-07-22 07:57:14,597 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/235/latest "HTTP/1.1 200 OK"
2026-07-22 07:57:14,599 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/235/sensors "HTTP/1.1 200 OK"
2026-07-22 07:57:14,604 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/235/sensors "HTTP/1.1 200 OK"
2026-07-22 07:57:32,846 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235608/measurements/hourly?datetime_from=2026-07-15T02%3A27%3A22.155704%2B00%3A00&datetime_to=2026-07-22T02%3A27%3A22.155704%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:57:32,857 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/382/measurements/hourly?datetime_from=2026-07-15T02%3A27%3A22.155704%2B00%3A00&datetime_to=2026-07-22T02%3A27%3A22.155704%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:57:32,860 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/381/measurements/hourly?datetime_from=2026-07-15T02%3A27%3A22.155704%2B00%3A00&datetime_to=2026-07-22T02%3A27%3A22.155704%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:57:32,862 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/384/measurements/hourly?datetime_from=2026-07-15T02%3A27%3A22.155704%2B00%3A00&datetime_to=2026-07-22T02%3A27%3A22.155704%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:57:32,866 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/385/measurements/hourly?datetime_from=2026-07-15T02%3A27%3A22.155704%2B00%3A00&datetime_to=2026-07-22T02%3A27%3A22.155704%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
